game,map,worldSize,materialSize,yScale,waterLevel,minH,maxH,meanH,reliefM,meanSlopeDeg,steepPct,landPct,cps,cpSpacingMedian,cpSpacingMin,vehicles,soldierSpawns,spawnToCpMedian,objects,templates,objPerKm2,combatArea,combatPct,deathPct,materials
BF1942,128_planes,32768,2048,10,-1436,619.844,2558.633,1665.331,1938.789,28.395,46.184,100,3,16761.09,16761.09,16,16,54.283,29,3,0.027,0,0,0,1
BF1942,304_Fields_of_the_Fallen,1024,256,0.6,75,51.891,111.98,78.932,60.089,5.869,5.775,97.701,7,86.476,54.106,16,48,31.619,2065,87,1969.338,1,100,91.29,6
BF1942,abandoned_city,1024,256,0.6,35,71.494,79.528,76.203,8.034,0.049,0.031,100,5,103.277,67.087,4,37,11.014,1213,121,1156.807,1,6.697,0,2
BF1942,Aberdeen,1024,256,0.6,0,48.813,121.273,86.816,72.459,12.331,8.73,100,7,276.472,147.474,33,49,18.162,193,36,184.059,0,0,33.401,5
BF1942,Africasun,1024,256,0.6,73,3.916,132.888,77.962,128.972,11.563,14.336,87.747,7,58.874,56.043,24,16,15.354,320,41,305.176,1,100,0.391,2
BF1942,al_jarah,1024,256,0.6,35,28.992,76.636,39.401,47.644,6.362,9.172,97.844,4,172.121,168.656,41,24,38.842,957,85,912.666,1,100,81.287,6
BF1942,Ambush,1024,256,1.5,0,188.244,301.676,203.619,113.432,10.54,18.235,100,2,64.514,64.514,0,29,97.515,888,37,846.863,1,15.259,96.23,4
BF1942,Assault_on_Crete,2048,512,2,261,249.313,324.414,264.311,75.102,7.017,7.202,37.492,6,340.288,288.007,98,57,66.119,2034,145,484.943,1,100,0.159,3
BF1942,Attack_on_Pearl_Harbor,4096,1024,1.3,67,0,125.714,4.051,125.714,1.877,3.213,3.63,2,2481.956,2481.956,48,23,134.886,512,29,30.518,1,100,83.588,4
BF1942,Bastogne,2048,512,1,50,51.641,255.996,145.122,204.356,10.97,7.336,100,7,428.61,336.361,74,67,62.843,3263,139,777.96,0,0,49.98,6
BF1942,Battleaxe,2048,512,0.6,0,16.458,153.544,80.212,137.086,17.701,19.541,100,8,84.762,81.498,31,34,11.567,436,38,103.951,0,0,0,2
BF1942,Battle_for_Bastogne,2048,512,0.6,20,0,63.952,26.909,63.952,6.57,7.852,79.565,6,279.816,89.443,36,25,23.403,2999,99,715.017,0,0,0,6
BF1942,Battle_for_Bastogne_vii,2048,512,0.6,20,0,63.952,26.909,63.952,6.57,7.852,79.565,6,279.816,89.443,36,25,23.403,2999,99,715.017,0,0,0,6
BF1942,Battle_For_Guam,4096,1024,0.6,42,0.605,121.104,7.987,120.499,3.452,2.785,6.83,7,303.627,297.353,55,14,29.961,1562,39,93.102,0,0,0,4
BF1942,battle_for_korsun,1024,256,0.6,73,41.44,107.405,79.503,65.965,9.843,7.994,95.932,6,400.24,159.118,35,26,30.771,1108,79,1056.671,1,100,16.168,8
BF1942,BATTLE_FOR_NORWAY,2048,512,1,124,36.941,185.387,127.757,148.445,14.38,13.082,63.694,6,358.893,305.665,40,34,26.263,1462,80,348.568,1,100,69.167,3
BF1942,Battle_for_Ralfi,2048,512,0.6,20,0,63.952,26.909,63.952,6.57,7.852,79.565,6,279.816,89.443,36,26,25.613,2999,99,715.017,0,0,0,6
BF1942,battle_for_tarawa,2048,512,1,31,0,80.27,14.31,80.27,4.874,3.469,19.168,5,407.615,268.617,42,23,24.538,693,28,165.224,0,0,0.001,4
BF1942,Battle_Mountain,1024,256,1.2,0,97.706,306,162.981,208.294,44.121,67.954,100,5,140.594,130.161,30,25,26.37,504,76,480.652,1,100,73.213,6
BF1942,Battle_of_Africa,1024,256,0.6,74,31.767,142.847,97.443,111.08,22.997,36.874,98.28,5,294.693,277.722,19,18,14.148,187,57,178.337,1,100,0,3
BF1942,Battle_of_Britain,2048,512,0.6,55,43.2,153.595,73.07,110.395,10.972,13.049,51.212,2,1665.237,1665.237,66,14,86.356,714,78,170.231,1,100,21.137,11
BF1942,Battle_of_Caen,1024,256,0.6,10,0.192,76.88,26.911,76.688,15.248,22.024,94.035,7,179.12,142.064,33,37,19.402,958,43,913.62,0,0,28.394,3
BF1942,battle_of_fukiyama_sixonsix,4096,1024,1.4,75,0,182.093,3.664,182.093,1.068,1.368,2.68,4,429.361,189.525,44,28,42.161,950,68,56.624,1,100,0,3
BF1942,Battle_of_Hurtgen_Forest,2048,512,0.6,0,39.6,141,77.016,101.4,23.151,29.415,100,5,242.872,220.655,22,62,25.185,938,41,223.637,1,100,96.089,5
BF1942,Battle_of_the_Bulge,2048,512,1,50,12.629,233.059,78.647,220.43,12.447,15.807,97.802,6,215.84,212.392,31,42,17.909,1519,61,362.158,1,39.063,84.768,4
BF1942,Battle_of_the_Philippine_Sea,4096,1024,0.6,77.485,0,131.834,4.294,131.834,0.814,1.199,1.264,6,354.64,329.168,43,32,21.807,1159,61,69.082,1,100,0,2
BF1942,Battle_Zeppelin_BETA,2048,512,0.6,55,43.2,153,73.07,109.8,10.971,13.049,51.212,2,1665.234,1665.234,69,14,86.355,714,78,170.231,1,100,0.003,11
BF1942,beinbrekkbakken,1024,256,1.1,0,0.06,280.5,102.383,280.44,27.583,45.487,100,8,110.923,8.21,32,10,14.291,412,72,392.914,1,100,53.331,5
BF1942,benghazi,2048,512,0.6,74,45.293,140.006,82.172,94.713,13.471,7.107,90.291,7,173.328,146.295,26,48,30.974,900,27,214.577,0,0,72.862,5
BF1942,Benghazi_rocketplane,2048,512,0.6,13,0,141.455,39.421,141.455,16.861,22.302,90.59,5,608.608,599.747,65,21,93.454,753,43,179.529,0,0,0,3
BF1942,Berlin,2048,512,0.6,35,0,40.882,2.369,40.882,0.19,0.198,5.957,4,110.045,64.316,10,28,10.901,326,46,77.724,1,6.25,99.006,2
